Assembly Accession	Assembly Name	Organism Name	Annotation Count Gene Total
GCF_900101105.1	IMG-taxon 2599185335 annotated assembly	Maridesulfovibrio ferrireducens	3463
GCF_024753145.1	ASM2475314v1	Massilia terrae	4903
GCF_020034655.1	ASM2003465v1	Thermomonas beijingensis	2618
GCF_014655295.1	ASM1465529v1	Streptomyces fumanus	7084
GCF_002807685.1	ASM280768v1	Alteromonas flava	3396
GCF_016342265.1	ASM1634226v1	Corynebacterium meridianum	2374
GCF_005281835.1	ASM528183v1	Vibrio profundi	4738
GCF_029589495.1	ASM2958949v1	Speluncibacter jeojiensis	4584
GCF_014836985.1	ASM1483698v1	Planococcus wigleyi	3774
GCF_002266855.1	ASM226685v1	Winogradskyella aurantia	2917
GCF_019343195.1	ASM1934319v1	Arthrospiribacter ruber	4485
GCF_030160115.1	ASM3016011v1	Devosia nitrariae	5477
GCF_009193215.1	ASM919321v1	Flavicella marina	2682
GCF_003076135.1	ASM307613v1	Nocardioides gansuensis	4559
GCF_903652925.1	LMG 26857	Achromobacter anxifer	6921
GCF_030442035.1	ASM3044203v1	Splendidivirga corallicola	6070
GCF_004331465.1	ASM433146v1	Kribbella pittospori	9222
GCF_022898935.1	ASM2289893v1	Paenibacillus mangrovi	5439
GCF_020685205.1	ASM2068520v1	Hymenobacter translucens	4237
GCF_035285365.1	ASM3528536v1	Aquimarina gracilis	4643
GCF_009602435.1	ASM960243v1	Sediminibacillus terrae	4026
GCF_012932915.1	ASM1293291v1	Antrihabitans stalactiti	6403
GCF_013184495.1	ASM1318449v1	Sporosarcina jiandibaonis	3687
GCF_900129545.1	IMG-taxon 2695420956 annotated assembly	Flavobacterium fluvii	3456
GCF_014235875.1	ASM1423587v1	Croceivirga lutea	3041
GCF_904846355.1	ASM90484635v1	Psychrobacter namhaensis	2410
GCF_003182275.1	ASM318227v1	Hoeflea marina	4855
GCF_003002875.1	ASM300287v1	Arcticibacter pallidicorallinus	3483
GCF_003987015.1	ASM398701v1	Aliidiomarina taiwanensis	2381
GCF_009831215.1	ASM983121v1	Actinomadura rayongensis	6127
GCF_004798965.1	ASM479896v1	Onishia niordana	3452
GCF_002153915.1	ASM215391v1	Methanonatronarchaeum thermophilum	1565
GCF_017254915.1	ASM1725491v1	Algoriphagus oliviformis	4530
GCF_003123745.1	ASM312374v1	Ancrocorticia populi	2380
GCF_900640015.1	Leg_rubrilucens_WA-270A-C2.v1	Legionella rubrilucens	2997
GCF_900168055.1	IMG-taxon 2595698205 annotated assembly	Parapedobacter luteus	4092
GCF_001307105.1	ASM130710v1	Bacillus australimaris	3734
GCF_024055605.1	ASM2405560v1	Ciceribacter sichuanensis	5210
GCF_014636995.1	ASM1463699v1	Mangrovimonas yunxiaonensis	2454
GCF_003206115.1	ASM320611v1	Salinicola socius	3751
GCF_014203555.1	ASM1420355v1	Streptomyces olivoverticillatus	5033
GCF_002259705.1	ASM225970v1	Alloscardovia macacae	1588
GCF_001707755.1	ASM170775v1	Acinetobacter celticus	3007
GCF_900143085.1	IMG-taxon 2667528169 annotated assembly	Gracilibacillus kekensis	3791
GCF_003412455.1	ASM341245v1	Deminuibacter soli	4850
GCF_900182735.1	IMG-taxon 2724679819 annotated assembly	Laceyella tengchongensis	3399
GCF_900112105.1	IMG-taxon 2622736505 annotated assembly	Zunongwangia mangrovi	3595
GCF_003789055.1	ASM378905v1	Histidinibacterium lentulum	4174
GCF_004804335.1	ASM480433v1	Pacificoceanicola onchidii	4810
GCF_039614825.1	ASM3961482v1	Sphingomonas qilianensis	3289
GCF_003206645.1	ASM320664v1	Salinicola aestuarinus	3491
GCF_003992615.1	ASM399261v1	Flagellimonas beolgyonensis	3444
GCF_902859595.1	LMG 3441	Achromobacter kerstersii	6335
GCF_030347995.1	ASM3034799v1	Sulfurovum xiamenensis	2292
GCF_014207655.1	ASM1420765v1	Geomicrobium halophilum	3502
GCF_039541595.1	ASM3954159v1	Georgenia halophila	4210
GCF_900100955.1	IMG-taxon 2663762758 annotated assembly	Lentzea fradiae	8104
GCF_005884405.1	ASM588440v1	Qipengyuania marisflavi	2633
GCF_019166065.1	ASM1916606v1	Candidimonas humi	4238
GCF_016908515.1	ASM1690851v1	Virgibacillus halotolerans	4346
GCF_001192795.1	ASM119279v1	Flexilinea flocculi	2795
GCF_009765275.1	ASM976527v1	Chachezhania sediminis	5191
GCF_001639725.1	ASM163972v1	Marinomonas atlantica	3745
GCF_007997385.1	ASM799738v1	Seonamhaeicola algicola	3147
GCF_023823685.1	ASM2382368v1	Pseudomonas subflava	4241
GCF_014172405.1	ASM1417240v1	Pedobacter gandavensis	4735
GCF_014199615.1	ASM1419961v1	Parvularcula dongshanensis	2949
GCF_003610635.1	ASM361063v1	Ichthyenterobacterium magnum	2784
GCF_039541815.1	ASM3954181v1	Flaviaesturariibacter amylovorans	4777
GCF_900188375.1	IMG-taxon 2700988693 annotated assembly	Geodermatophilus pulveris	4220
GCF_000745485.1	ASM74548v1	Methanobacterium veterum	3334
GCF_900115955.1	IMG-taxon 2634166311 annotated assembly	Lentzea waywayandensis	9449
GCF_014639535.1	ASM1463953v1	Flavobacterium palustre	3289
GCF_004118285.1	ASM411828v1	Aquirufa rosea	2514
GCF_036409055.1	ASM3640905v1	Niabella digestorum	2755
GCF_029502005.1	ASM2950200v1	Natrinema salsiterrestre	4762
GCF_039545155.1	ASM3954515v1	Deinococcus aluminii	3652
GCF_007860185.1	ASM786018v1	Novipirellula aureliae	5635
GCF_017813335.1	ASM1781333v1	Tianweitania sediminis	4611
GCF_023162025.1	ASM2316202v1	Flavobacterium pygoscelis	3266
GCF_004769195.1	ASM476919v1	Leptospira fletcheri	3431
GCF_022750635.1	ASM2275063v1	Brevundimonas pishanensis	2838
GCF_023008165.1	ASM2300816v1	Kordiimonas laminariae	3502
GCF_012927745.1	ASM1292774v1	Neoroseomonas marina	5005
GCF_003751385.1	ASM375138v1	Desulfosoma caldarium	3069
GCF_030161435.1	ASM3016143v1	Thalassotalea loyana	3735
GCF_042431625.1	ASM4243162v1	Flavobacterium procerum	5221
GCF_004104355.1	ASM410435v1	Photobacterium chitinilyticum	5346
GCF_019430885.1	ASM1943088v1	Neoroseomonas alba	6012
GCF_002917925.1	ASM291792v1	Roseovarius confluentis	4388
GCF_024494725.1	ASM2449472v1	Haloplanus ruber	3407
GCF_003254585.1	ASM325458v1	Flavobacterium sharifuzzamanii	4516
GCF_013425765.1	ASM1342576v1	Luteimonas deserti	3336
GCF_014653695.1	ASM1465369v1	Lentzea cavernae	9355
GCF_030362855.1	ASM3036285v1	Alteromonas arenosi	3439
GCF_015223105.1	ASM1522310v1	Flavobacterium proteolyticum	2555
GCF_001874525.1	ASM187452v1	Pseudodesulfovibrio hydrargyri	3760
GCF_014202215.1	ASM1420221v1	Quisquiliibacterium transsilvanicum	3982
GCF_020523625.1	ASM2052362v1	Methylovorus menthalis	2812
GCF_900129565.1	IMG-taxon 2675903007 annotated assembly	Marisediminitalea aggregata	4361
GCF_042675845.1	ASM4267584v1	Winogradskyella rapida	3349
GCF_003864335.1	ASM386433v1	Lentilactobacillus kosonis	2254
GCF_001700435.1	ASM170043v1	Paenibacillus pectinilyticus	6780
GCF_024199985.1	ASM2419998v1	Nocardioides pinisoli	4386
GCF_026343855.1	ASM2634385v1	Kaistia nematophila	4859
GCF_000612805.1	FF3	Bacillus ndiopicus	4006
GCF_000771085.1	DSM-19703	Bifidobacterium bombi DSM 19703	1514
GCF_018362775.1	Alistipes_kh20	Alistipes montrealensis	2785
GCF_001509585.1	ASM150958v1	Tropicimonas marinistellae	5043
GCF_003610775.1	ASM361077v1	Alginatibacterium sediminis	4077
GCF_900207585.1	IMG-taxon 2740891863 annotated assembly	Bacillus oleivorans	4516
GCF_010078385.1	ASM1007838v1	Chengkuizengella sediminis	4300
GCF_004342005.1	ASM434200v1	Paracandidimonas soli	3723
GCF_000720335.1	ASM72033v1	Nocardioides aequoreus	4017
GCF_007954275.1	ASM795427v1	Colwellia demingiae	4479
GCF_019931145.1	ASM1993114v1	Marinicella meishanensis	3566
GCF_013140855.1	ASM1314085v1	Pseudoalteromonas caenipelagi	4446
GCF_039529775.1	ASM3952977v1	Myceligenerans crystallogenes	4084
GCF_013112225.1	ASM1311222v1	Vreelandella azerica	3455
GCF_003206695.1	ASM320669v1	Salinicola halophyticus	3464
GCF_015644585.1	ASM1564458v1	Rahnella laticis	5235
GCF_034335015.1	ASM3433501v1	Neglectibacter caecimuris	2769
GCF_023556335.1	ASM2355633v1	Stenotrophomonas mori	2967
GCF_016406085.1	ASM1640608v1	Aureibaculum flavum	4040
GCF_003581615.1	ASM358161v1	Flagellimonas lutimaris	3411
GCF_022760445.1	ASM2276044v1	Cryobacterium zhongshanensis	4104
GCF_002374835.1	ASM237483v1	Sphingomonas ginsenosidimutans	3818
GCF_007859935.1	ASM785993v1	Posidoniimonas polymericola	4920
GCF_025165815.1	ASM2516581v1	Actinophytocola gossypii	7069
GCF_004340665.1	ASM434066v1	Pedobacter psychrotolerans	4377
GCF_007992835.1	ASM799283v1	Knoellia locipacati	3436
GCF_900078305.2	PRJEB13138	Corynebacterium bouchesdurhonense	2218
GCF_900696085.1	ERZ807199	Bradyrhizobium ivorense	8651
GCF_900111745.1	IMG-taxon 2693429888 annotated assembly	Stigmatella erecta	7455
GCF_014305095.1	ASM1430509v1	Flavobacterium kayseriense	3121
GCF_014649515.1	ASM1464951v1	Streptomyces pilosus	6816
GCF_016820615.1	ASM1682061v1	Planococcus beijingensis	3686
GCF_000701505.1	ASM70150v1	Dyadobacter crusticola DSM 16708	5319
GCF_004358205.1	ASM435820v1	Bacillus salipaludis	6287
GCF_027859255.1	ASM2785925v1	Helicobacter ibis	1722
GCF_000526915.1	ASM52691v1	Mycobacterium genavense ATCC 51234	4866
GCF_008039565.1	ASM803956v1	Aeromicrobium terrae	3201
GCF_002155425.1	ASM215542v1	Erythrobacter donghaensis	3229
GCF_003050615.1	ASM305061v1	Sphingomonas oleivorans	3696
GCF_003598715.1	ASM359871v1	Nocardia panacis	6880
GCF_900188105.1	IMG-taxon 2724679706 annotated assembly	Actinomadura mexicana	8094
GCF_003387535.1	ASM338753v1	Paraperlucidibaca baekdonensis	2196
GCF_900102015.1	IMG-taxon 2636416063 annotated assembly	Limimaricola pyoseonensis	3784
GCF_042650085.1	ASM4265008v1	Oceanobacillus longus	3717
GCF_012272835.1	ASM1227283v1	Spongiibacter thalassae	3939
GCF_900240305.1	PRJEB23089	Ottowia massiliensis	2646
GCF_900104485.1	IMG-taxon 2597490370 annotated assembly	Bauldia litoralis	4823
GCF_009908295.1	ASM990829v1	Micromonospora rubida	6478
GCF_003605385.1	ASM360538v2	Siminovitchia acidinfaciens	4112
GCF_039533005.1	ASM3953300v1	Streptomyces fimbriatus	7471
GCF_010667615.1	ASM1066761v1	Bifidobacterium choloepi	1709
GCF_025506335.1	ASM2550633v1	Mumia quercus	3965
GCF_900103985.1	IMG-taxon 2667527439 annotated assembly	Actinacidiphila guanduensis	6876
GCF_019100495.1	ASM1910049v1	Falsochrobactrum tianjinense	3350
GCF_002260845.1	ASM226084v1	Lactococcus reticulitermitis	2173
GCF_008831075.1	ASM883107v1	Pseudoclavibacter terrae	3596
GCF_036336025.1	ASM3633602v1	Stomatohabitans albus	1863
GCF_026626335.1	ASM2662633v1	Paractinoplanes pyxinae	9605
GCF_004363305.1	ASM436330v1	Marinomonas communis	3613
GCF_003814915.1	ASM381491v1	Pacificibacter maritimus	2974
GCF_030010385.1	ASM3001038v1	Flavobacterium algoritolerans	3212
GCF_017565425.1	ASM1756542v1	Actinotalea soli	3395
GCF_017874235.1	ASM1787423v1	Halolamina salifodinae	2892
GCF_001651865.1	ASM165186v1	Sinorhizobium glycinis	5643
GCF_016746095.1	ASM1674609v1	Sphingobacterium faecale	4590
GCF_014640315.1	ASM1464031v1	Hymenobacter glacieicola	4339
GCF_030159935.1	ASM3015993v1	Algimonas porphyrae	3097
GCF_003865035.1	ASM386503v1	Anaerotignum faecicola	2483
GCF_014199525.1	ASM1419952v1	Conexibacter arvalis	4898
GCF_003123725.1	ASM312372v1	Corticimicrobacter populi	3337
GCF_005049235.1	ASM504923v1	Rhodococcus oryzae	4996
GCF_004364325.1	ASM436432v1	Actinophytocola oryzae	9529
GCF_009763245.1	ASM976324v1	Pseudomonas xionganensis	3739
GCF_014650395.1	ASM1465039v1	Streptomyces pluricolorescens	6782
GCF_042650365.1	ASM4265036v1	Nocardia rhizosphaerae	5823
GCF_009709615.1	ASM970961v1	Winogradskyella ouciana	3196
GCF_900182745.1	IMG-taxon 2724679805 annotated assembly	Shimia sagamensis	4399
GCF_039541975.1	ASM3954197v1	Amycolatopsis samaneae	8908
GCF_003605195.1	ASM360519v1	Aurantiacibacter odishensis	3139
GCF_026735165.1	ASM2673516v1	Clostridium ganghwense	3992
GCF_011090165.1	ASM1109016v1	Duganella aceris	6207
GCF_900174585.1	ASM90017458v1	Parendozoicomonas haliclonae	4789
GCF_020866905.1	ASM2086690v1	Salinimicrobium sediminilitoris	3278
GCF_039537185.1	ASM3953718v1	Kribbella ginsengisoli	8611
GCF_900155985.1	IMG-taxon 2681813549 annotated assembly	Maribacter ulvicola	3880
GCF_020164535.1	ASM2016453v1	Psychroflexus montanilacus	2799
GCF_031846165.1	ASM3184616v1	Brumicola blandensis	3532
GCF_036330345.1	ASM3633034v1	Hyphobacterium lacteum	2737
GCF_015234215.1	ASM1523421v1	Clostridium chrysemydis	3454
GCF_004793925.1	ASM479392v1	Muricaecibacterium torontonense	1729
GCF_011634895.1	ASM1163489v1	Rheinheimera pleomorphica	3702
GCF_900109565.1	IMG-taxon 2657245271 annotated assembly	Sphingomonas palmae	3208
GCF_002245625.1	ASM224562v1	Acidovorax kalamii	4715
GCF_003390885.1	ASM339088v1	Pelagibacterium sediminicola	3211
GCF_018145655.1	ASM1814565v1	Campylobacter anatolicus	1914
GCF_021729035.1	ASM2172903v1	Microbulbifer sediminum	3381
GCF_014699035.1	ASM1469903v1	Spirosoma validum	6834
GCF_020831365.1	ASM2083136v1	Massilia agrisoli	4323
GCF_014652435.1	ASM1465243v1	Undibacterium squillarum	3734
GCF_010586825.1	ASM1058682v1	Draconibacterium mangrovi	4662
GCF_000975055.1	ASM97505v1	Demequina sediminicola	2325
GCF_039544555.1	ASM3954455v1	Nesterenkonia rhizosphaerae	2839
GCF_900182975.1	IMG-taxon 2681813503 annotated assembly	Epilithonimonas pallida	3535
GCF_002786295.1	L23705_abyss-scaffolds_k62_38	Pseudooceanicola marinus	4307
GCF_003202155.1	ASM320215v1	Marinifilum breve	4592
GCF_007625215.1	ASM762521v1	Spiribacter aquaticus	2019
GCF_025397915.1	ASM2539791v1	Microbaculum marinisediminis	4845
GCF_016464365.1	ASM1646436v1	Sandaracinobacteroides hominis	3416
GCF_900116135.1	IMG-taxon 2599185150 annotated assembly	Saccharopolyspora flava	5710
GCF_024623725.1	ASM2462372v1	Limnobacter parvus	2981
GCF_017912535.1	ASM1791253v1	Motiliproteus sediminis	3564
GCF_004801395.1	ASM480139v1	Allorhizobium terrae	4032
GCF_005117025.1	ASM511702v1	Alteromonas portus	3949
GCF_005871185.1	ASM587118v1	Limnobacter alexandrii	3317
GCF_023554995.1	ASM2355499v1	Halomonas gemina	3814
GCF_900177665.1	IMG-taxon 2595699006 annotated assembly	Marivirga sericea	4091
GCF_030345335.1	ASM3034533v1	Halobacillus campisalis	3813
GCF_002812205.1	ASM281220v1	Leptospira neocaledonica	3911
GCF_001685015.1	ASM168501v1	Bacillus wudalianchiensis	4466
GCF_001457815.1	Vitreoscilla massiliensis	Vitreoscilla massiliensis	3688
GCF_042651445.1	ASM4265144v1	Parasediminibacterium paludis	3397
GCF_011040385.1	ASM1104038v1	Falsiroseomonas algicola	6223
GCF_003173355.1	ASM317335v1	Methanospirillum lacunae	3449
GCF_023155855.1	ASM2315585v1	Microbacterium aoyamense	3777
GCF_004212215.1	ASM421221v1	Leptolyngbya iicbica LK	4884
GCF_009754945.1	ASM975494v1	Spirosoma arboris	8249
GCF_038066715.1	ASM3806671v1	Luteolibacter soli	5739
GCF_026130605.1	ASM2613060v1	Sphingomonas lycopersici	4620
GCF_009604425.1	ASM960442v1	Nocardia aurantia	7666
GCF_900101815.1	IMG-taxon 2684622891 annotated assembly	Pricia antarctica	4125
GCF_042675745.1	ASM4267574v1	Pseudofulvibacter geojedonensis	2937
GCF_004216555.1	ASM421655v1	Herbihabitans rhizosphaerae	6690
GCF_039531955.1	ASM3953195v1	Saccharopolyspora halophila	5062
GCF_014287365.1	ASM1428736v1	Eggerthella hominis	3452
GCF_019599505.1	ASM1959950v1	Haloarcula nitratireducens	5293
GCF_013403925.1	ASM1340392v1	Winogradskyella wichelsiae	3443
GCF_003697785.1	ASM369778v1	Paracoccus alkanivorans	4543
GCF_900086725.1	PRJEB13908	Bariatricus massiliensis	4058
GCF_003419895.1	ASM341989v1	Chitinophaga silvatica	5447
GCF_039542055.1	ASM3954205v1	Actinoallomurus vinaceus	10671
GCF_015163075.1	ASM1516307v1	Streptomyces justiciae	9490
GCF_900182545.1	IMG-taxon 2724679686 annotated assembly	Geodermatophilus aquaeductus	5250
GCF_009733595.1	ASM973359v1	Actinomadura litoris	8194
GCF_900299485.1	Aquimarina sp. strain Aq349	Aquimarina spinulae	5263
GCF_015352975.1	ASM1535297v1	Aestuariimicrobium ganziense	3086
GCF_041930145.1	ASM4193014v1	Brucella ciceri	4379
GCF_016900875.1	ASM1690087v1	Vibrio ulleungensis	4050
GCF_024281235.1	ASM2428123v1	Shinella daejeonensis	4496
GCF_009760925.1	ASM976092v1	Nonomuraea typhae	10793
GCF_019145235.1	ASM1914523v1	Pseudomonas farris	5993
GCF_002148795.1	ASM214879v1	Oceanibaculum nanhaiense	3693
GCF_003315205.1	ASM331520v1	Roseimicrobium gellanilyticum	6402
GCF_003634455.1	ASM363445v1	Flavobacterium endophyticum	3369
GCF_002802875.1	Spades_TRE1	Bifidobacterium primatium	2135
GCF_900086655.1	PRJEB13948	Paenibacillus tuaregi	5150
GCF_003688415.1	ASM368841v1	Umboniibacter marinipuniceus	2468
GCF_039536325.1	ASM3953632v1	Paenibacillus hodogayensis	7115
GCF_021353235.1	ASM2135323v1	Roseateles caseinilyticus	5319
GCF_010915705.1	ASM1091570v1	Pseudotabrizicola algicola	4396
GCF_030504955.1	ASM3050495v1	Peiella sedimenti	2745
GCF_003217775.1	ASM321777v1	Paenibacillus flagellatus	6382
GCF_900626215.1	PRJEB24607	Corynebacterium neomassiliense	2764
GCF_007558725.1	ASM755872v1	Fluviicola chungangensis	3753
GCF_003254665.1	ASM325466v1	Billgrantia lactosivorans	4071
GCF_018336155.1	ASM1833615v1	Pseudomonas rustica	5388
GCF_900110585.1	IMG-taxon 2617270766 annotated assembly	Aquisalimonas asiatica	3754
GCF_016482825.1	ASM1648282v1	Antrihabitans stalagmiti	5959
GCF_016765795.1	ASM1676579v1	Fuscibacter oryzae	3814
GCF_042646225.1	ASM4264622v1	Piscinibacterium candidicorallinum	3483
GCF_002285435.1	ASM228543v1	Actibacterium ureilyticum	4176
GCF_000807855.2	ASM80785v2	Flammeovirga pacifica	5019
GCF_009757995.1	ASM975799v1	Paenibacillus anseongense	7782
GCF_927798115.1	CIP111892	Paenibacillus auburnensis	5741
GCF_014297445.1	ASM1429744v1	Ramlibacter albus	6033
GCF_016901055.1	ASM1690105v1	Alteribacter salitolerans	4091
GCF_014138465.1	ASM1413846v1	Bartonella chomelii	1371
GCF_001939045.1	ASM193904v1	Rhizobium oryziradicis	4706
GCF_027988105.1	ASM2798810v1	Pseudomonas aestuarii	4728
GCF_010820555.1	ASM1082055v1	Psychroflexus aurantiacus	2676
GCF_014643635.1	ASM1464363v1	Salipiger pallidus	4312
GCF_014284235.1	ASM1428423v1	Undibacterium curvum	3774
GCF_014534655.1	ASM1453465v1	Paenibacillus sedimenti	6757
GCF_022953055.1	ASM2295305v1	Mucilaginibacter straminoryzae	4111
GCF_000967245.1	ASM96724v1	Bombilactobacillus mellis	1724
GCF_900343155.1	PRJEB25878	Lactimicrobium massiliense	2396
GCF_044904705.1	ASM4490470v1	Dyella agri	3744
GCF_000820845.2	K22	Pyrinomonas methylaliphatogenes	3184
GCF_002155685.1	ASM215568v1	Erythrobacter colymbi	4151
GCF_030065535.1	ASM3006553v1	Microbacterium dauci	2821
GCF_900188235.1	IMG-taxon 2724679779 annotated assembly	Lutibacter agarilyticus	3428
GCF_030077645.1	ASM3007764v1	Streptomyces pakalii	6900
GCF_900185625.1	P.andalusiensis_CECT9192T_SPAdes_Prokka_EMBL	Photobacterium andalusiense	4107
GCF_018642165.1	ASM1864216v1	Echinicola shivajiensis	4490
GCF_014836905.1	ASM1483690v1	Solibacillus faecavium	3850
GCF_003721515.1	ASM372151v1	Rufibacter latericius	4581
GCF_032304395.1	ASM3230439v1	Thermococcus waiotapuensis	1999
GCF_003202235.1	ASM320223v1	Prauserella flavalba	7909
GCF_003052295.1	ASM305229v1	Trichococcus paludicola	1783
GCF_017592545.1	ASM1759254v1	Microbacterium stercoris	3382
GCF_014647895.1	ASM1464789v1	Pilimelia anulata	4668
GCF_000518265.1	ASM51826v1	Actinomadura oligospora ATCC 43269	8332
GCF_014637955.1	ASM1463795v1	Halopseudomonas salina	3470
GCF_014652575.1	ASM1465257v1	Asticcacaulis endophyticus	3572
GCF_902806985.1	Pseudidiomarina_CECT9734	Pseudidiomarina piscicola	2390
GCF_009014635.1	ASM901463v1	Patiriisocius marinistellae	3021
GCF_900116615.1	IMG-taxon 2639762564 annotated assembly	Algoriphagus locisalis	4645
GCF_024764775.1	ASM2476477v1	Scandinavium manionii	4435
GCF_014641635.1	ASM1464163v1	Aquaticitalea lipolytica	2903
GCF_900101435.1	IMG-taxon 2622736512 annotated assembly	Pedobacter soli	4978
GCF_009811755.1	ASM981175v1	Roseobacter cerasinus	4434
GCF_900102425.1	IMG-taxon 2599185358 annotated assembly	Blastococcus aurantiacus	4125
GCF_004345665.1	ASM434566v1	Kribbella antiqua	7825
GCF_003985155.1	ASM398515v1	Rhizobium vallis	6909
GCF_014195635.1	ASM1419563v1	Pseudochelatococcus contaminans	3750
GCF_029664245.1	ASM2966424v1	Profundicola chukchiensis	2368
GCF_009753715.1	ASM975371v1	Sphingomonas horti	3343
GCF_003324525.1	ASM332452v1	Mucilaginibacter hurinus	3429
GCF_025950095.1	ASM2595009v1	Luteolibacter rhizosphaerae	5283
GCF_039539625.1	ASM3953962v1	Zhongshania borealis	3889
GCF_002252475.1	ASM225247v1	Brucella rhizosphaerae	4621
GCF_003171715.1	ASM317171v1	Novosphingobium meiothermophilum	3285
GCF_021603645.1	ASM2160364v1	Pseudomonas pseudonitroreducens	6554
GCF_003014695.1	ASM301469v1	Dyadobacter jiangsuensis	6786
GCF_026283925.1	ASM2628392v1	Dyella halodurans	4176
GCF_001573155.1	ASM157315v1	Aequorivita aquimaris	2954
GCF_009467805.1	ASM946780v1	Stenotrophomonas nematodicola	4004
GCF_018499875.1	ASM1849987v1	Kineosporia corallincola	7173
GCF_014837035.1	ASM1483703v1	Kaistella pullorum	2388
GCF_008086115.1	ASM808611v1	Maritimibacter fusiformis	3523
GCF_014287385.1	ASM1428738v1	Bacteroides difficilis	4667
GCF_041287165.2	ASM4128716v2	[Mycobacterium] bulgaricum	5910
GCF_003148525.1	ASM314852v1	Flavobacterium araucananum	5042
GCF_028331445.1	ASM2833144v1	Candidatus Phyllobacterium onerii	5845
GCF_018860155.1	ASM1886015v1	Nocardia albiluteola	8604
GCF_003362805.1	ASM336280v1	Neobacillus piezotolerans	4546
GCF_021311115.1	ASM2131111v1	Chryseobacterium gwangjuense	3220
GCF_040049085.1	ASM4004908v1	Flavobacterium maritimum	3664
GCF_003149455.1	ASM314945v1	Chitinophaga deserti	5124
GCF_004339095.1	ASM433909v1	Natranaerovirga hydrolytica	2843
GCF_017963645.1	ASM1796364v1	Marivibrio halodurans	3836
GCF_902703545.1	STARVERO_assembly	Starkeya nomas	4682
GCF_004362145.1	ASM436214v1	Marinomonas balearica	3563
GCF_007197885.1	ASM719788v1	Tessaracoccus rhinocerotis	3243
GCF_029624125.1	ASM2962412v1	Winogradskyella marincola	3165
GCF_014641455.1	ASM1464145v1	Hymenobacter cavernae	4637
GCF_014651935.1	ASM1465193v1	Marinobacter zhanjiangensis	3749
GCF_000943565.1	ASM94356v1	Tamlana sedimentorum	3427
GCF_900111455.1	IMG-taxon 2636416082 annotated assembly	Geodermatophilus poikilotrophus	4578
GCF_030433635.1	ASM3043363v1	Paenibacillus vandeheii	6391
GCF_025822405.1	ASM2582240v1	Mycobacterium angelicum	5771
GCF_028737315.1	ASM2873731v1	Actinomycetospora lemnae	5876
GCF_016805305.1	ASM1680530v1	Roseomonas ponticola	6358
GCF_001517665.2	ASM151766v2	Peptoniphilus phoceensis	1693
GCF_013377855.1	ASM1337785v1	Undibacterium oligocarboniphilum	3443
GCF_010119245.1	ASM1011924v1	Cyclobacterium salsum	4743
GCF_014650775.1	ASM1465077v1	Streptomyces cirratus	6637
GCF_002115755.1	ASM211575v1	Thalassospira mesophila	4345
GCF_008830225.1	ASM883022v1	Pseudodesulfovibrio senegalensis	3164
GCF_900156815.1	IMG-taxon 2681813556 annotated assembly	Gemmobacter megaterium	4084
GCF_000504145.1	SOAPdenovo for version2.04 of Bacillus sp. FJAT-14515 genome	Bacillus cihuensis	5147
GCF_902459725.1	LMG 31012	Pandoraea eparura	4693
GCF_018343625.1	ASM1834362v1	Lederbergia citri	4802
GCF_002335745.1	ASM233574v1	Evansella halocellulosilytica	5247
GCF_002021565.1	ASM202156v1	Paenibacillus selenitireducens	6523
GCF_900100255.1	IMG-taxon 2596583650 annotated assembly	Asticcacaulis taihuensis	3662
GCF_007993065.1	ASM799306v1	Paracoccus aurantiacus	3789
GCF_014290175.1	ASM1429017v1	Anaerosacchariphilus hominis	3269
GCF_003121295.1	ASM312129v1	Streptomyces orinoci	6811
GCF_011762045.1	ASM1176204v1	Rhizomicrobium electricum	4209
GCF_019740315.1	ASM1974031v1	Oceanobacter mangrovi	4619
GCF_008370495.1	ASM837049v1	Pseudohalioglobus sediminis	3998
GCF_014196615.1	ASM1419661v1	Novosphingobium fluoreni	3421
GCF_014287625.1	ASM1428762v1	Roseburia difficilis	3155
GCF_011762195.1	ASM1176219v1	Sphingomonas oligoaromativorans	3735
GCF_903994065.1	CIP111751	Jeotgalicoccus coquinae	2267
GCF_025716875.1	ASM2571687v1	Marinomonas sargassi	2973
GCF_012933545.1	ASM1293354v1	Rouxiella aceris	4847
GCF_002554795.1	ASM255479v1	Longibacter salinarum	3439
GCF_014635145.1	ASM1463514v1	Nocardioides daphniae	3474
GCF_900182605.1	IMG-taxon 2724679709 annotated assembly	Saccharicrinis carchari	3557
GCF_900091435.1	IMG-taxon 2622736432 annotated assembly	Micromonospora chaiyaphumensis	6312
GCF_014202475.1	ASM1420247v1	Streptomyces paradoxus	7921
GCF_020216065.1	ASM2021606v1	Nocardia rosealba	5951
GCF_900215315.1	IMG-taxon 2721755863 annotated assembly	Arsukibacterium tuosuense	3645
GCF_900232905.1	PRJEB22825	Miniphocaeibacter massiliensis	2166
GCF_015209965.1	ASM1520996v1	Sphingobacterium pedocola	4313
GCF_900185615.1	P.malacitana_CECT9190T_SPAdes_Prokka_EMBL	Photobacterium malacitanum	4003
GCF_014595945.1	ASM1459594v1	Alkalibacillus aidingensis	2929
GCF_014230465.1	ASM1423046v1	Pseudomonas cremoris	6684
GCF_900290285.1	PRJEB23933	Selenomonas massiliensis	2449
GCF_004916895.1	ASM491689v1	Flagellimonas alvinocaridis	3405
GCF_011007385.1	ASM1100738v1	Sphingobacterium luzhongxinii	3918
